date,hmm_state,hmm_p_crisis,bocpd_p_change,bocpd_break_freq_30d,risk_score_raw,risk_score_calibrated,alert_p90,alert_p95
2008-07-29,0,1.0,0.04286412299355484,7.0,0.37230453,0.19542029003302255,0,0
2008-07-30,0,1.0,0.07293505024145334,7.0,0.50064665,0.25897593796253204,1,0
2008-07-31,0,1.0,0.11238536723849463,7.0,0.56328976,0.302900696794192,1,0
2008-08-01,0,1.0,0.10273896080300801,7.0,0.6155005,0.3358519524335861,1,0
2008-08-04,0,1.0,0.05809437979802428,6.0,0.52531415,0.3100804140170415,1,0
2008-08-05,0,1.0,0.03350451995393755,5.0,0.8970068,0.48550179600715637,1,1
2008-08-06,0,1.0,0.058809725762629175,5.0,0.9217686,0.48550179600715637,1,1
2008-08-07,0,1.0,0.3510660709425578,5.0,0.92379695,0.48550179600715637,1,1
2008-08-08,0,1.0,0.876425485155574,6.0,0.89072585,0.48550179600715637,1,1
2008-08-11,0,1.0,0.7642804787913507,7.0,0.88787127,0.48550179600715637,1,1
2008-08-12,0,1.0,0.5379508697418137,8.0,0.89707845,0.48550179600715637,1,1
2008-08-13,0,1.0,0.722514622428246,9.0,0.89501697,0.48550179600715637,1,1
2008-08-14,0,1.0,0.5503156542330196,10.0,0.8905728,0.48550179600715637,1,1
2008-08-15,0,1.0,0.38050982048133253,10.0,0.9354999,0.48550179600715637,1,1
2008-08-18,0,1.0,0.26508833049350444,10.0,0.9381923,0.48550179600715637,1,1
2008-08-19,0,1.0,0.34648109364478774,10.0,0.9197728,0.48550179600715637,1,1
2008-08-20,0,1.0,0.2132738763872737,10.0,0.89103,0.48550179600715637,1,1
2008-08-21,0,1.0,0.12965166438694564,10.0,0.9273235,0.48550179600715637,1,1
2008-08-22,0,1.0,0.08008875444806819,9.0,0.9305711,0.48550179600715637,1,1
2008-08-25,0,1.0,0.08563707154596815,8.0,0.9398485,0.48550179600715637,1,1
2008-08-26,0,1.0,0.11481523823762009,7.0,0.91352034,0.48550179600715637,1,1
2008-08-27,0,1.0,0.08550651309822305,6.0,0.8620308,0.48550179600715637,1,1
2008-08-28,0,1.0,0.05828214738577962,5.0,0.86635417,0.48550179600715637,1,1
2008-08-29,0,1.0,0.031665650814944976,5.0,0.85542554,0.48550179600715637,1,1
2008-09-01,0,1.0,0.04453312369451599,5.0,0.8547817,0.48550179600715637,1,1
2008-09-03,0,1.0,0.0977450359790971,5.0,0.882417,0.48550179600715637,1,1
2008-09-04,0,1.0,0.0405596098755036,5.0,0.9019559,0.48550179600715637,1,1
2008-09-05,0,1.0,0.02769088433589961,5.0,0.83493805,0.45055555800596875,1,1
2008-09-08,0,1.0,0.02888041011502917,5.0,0.85186696,0.48550179600715637,1,1
2008-09-09,0,1.0,0.05304034344522687,5.0,0.91737,0.48550179600715637,1,1
